tutorialarea_shop_title,판매 목록
dialog_deckEditSameCharacterTitle,교체 확인
dialog_deckNameEdit_attentionMessage,8자 이내
dialog_deckNameEdit_message,밴드 이름을 입력해주세요.
dialog_deckNameEdit_placeholder,밴드 이름
dialog_deckNameEdit_title,밴드 이름
dialog_deckRecommend_title,추천 편성
dialog_deckRecommend_captionPriority,우선 순위
dialog_deckRecommend_caption,우선하는 밴드
dialog_deckRecommend_captionType,우선하는 타입
dialog_deckRecommend_noConditions,선택 안 함
dialog_deckRecommend_priorityType,타입
dialog_deckRecommend_priorityBand,밴드
dialog_deckRecommend_finishDeckChange,추천 편성으로 밴드를 편성했습니다.
dialog_degreeDetail_title,칭호 상세
dialog_degreeDetail_acquiredCondition,설명
dialog_editUserName_title,플레이어 이름 입력
dialog_editUserName_body,당신의 이름을 입력해주세요.
dialog_editUserName_limitWord,10자 내외
dialog_editUserName_canChangeMessage,※유저 이름은 나중에 변경할 수 있습니다.※
dialog_encoreConfirm_title,다시 한번 라이브
dialog_encoreConfirm_message,이전과 같은 룸으로 입장하여\n다시 한번 라이브를 진행하시겠습니까?
dialog_episodeConfirm_message,「{0}」 에피소드를\n보시겠습니까?
dialog_episodeConfirm_title,에피소드
dialog_episodeParamUp_title,에피소드 달성 보너스
dialog_episodeParamUp_description,의\n파라미터가 UP했습니다!
dialog_episodePlay_title,에피소드
dialog_episodeRead_title,에피소드 달성 보너스
dialog_episodeUnlock_message,이하의 아이템을 소비하여\n「{0}」 에피소드를 오픈하시겠습니까?
dialog_episodeUnlock_needLevelLabel,오픈 가능 레벨 {0}이상
dialog_episodeUnlock_title,에피소드 오픈
dialog_episodeUnlockedError_message,데이터가 잘못되었습니다.
dialog_episodeUnlocked_message,「{0}」\n에피소드를 오픈했습니다.\n바로 보시겠습니까?
dialog_episodeUnlocked_title,오픈 완료
dialog_exchange_exchangeCount,교환 개수
dialog_exchange_exchangeButton,교환
dialog_exchange_exchangeOkButton,OK
dialog_exchangeDone_title,교환했습니다!
dialog_exchangeQuantity_title,몇 개를 교환하시겠습니까?
dialog_exchangeConfirm_title,교환 개수를 확인해주세요
dialog_exchange_periodOver,교환 기간이 종료되었습니다.
dialog_event_close,이벤트가 종료되었습니다.
dialog_eventResultBadUserAlert_title,주의
dialog_eventResultBadUserAlert_message,고객님께서는 라이브에서\n일정 이상의 기준에 도달하지 못하여\n이벤트P 등을 획득할 수 없습니다.\n양해 부탁 드립니다.
dialog_eventReward_title,보상 획득
dialog_eventReward_description,누계 {0}P 달성 보상을 획득했습니다!
dialog_eventRewardBoxGacha_deadlineDateFormat,MM/dd　HH:mm까지
dialog_eventRewardBoxGacha_currentSet_title,{0}차 상자
dialog_eventRewardBoxGacha_lastSet_title,{0}차 상자 이후
dialog_eventRewardBoxGacha_attentionReward_title,주요 선물
dialog_eventRewardBoxGacha_changeBox,다음 선물 상자로
dialog_eventRewardBoxGacha_rewardList_title,선물 상자 내용물
dialog_eventRewardBoxGacha_special,스페셜
dialog_eventRewardBoxGacha_possession,소지 
dialog_eventRewardBoxGacha_medalCount,장
dialog_eventRewardBoxGacha_resetFinish_title,초기화 완료
dialog_eventRewardBoxGacha_confirm,확인
dialog_eventRewardBoxGacha_medalUnit,장
dialog_eventRewardBoxGacha_rewardUnit,개
dialog_eventRewardBoxGacha_resetFinish_message,다음 선물 상자로 이동했습니다.
dialog_eventRewardBoxGacha_resetFinish_allReceivedMessage,선물 상자 내용물을 전부 수령하여\n다음 선물 상자로 이동했습니다.
dialog_eventRewardBoxGacha_startContinueConfirm_message,{0} {1}장를 주고\n선물을 {2}개 받습니다.\n계속하시겠습니까?
dialog_eventRewardBoxGacha_resetConfirm_message,선물 상자의 내용물을 초기화하고\n다음 선물 상자로 이동합니다.\n진행하시겠습니까?
dialog_eventRewardBoxGacha_resetConfirm_warning,※ 선물 상자를 초기화하면\n이전 선물 상자로 되돌아갈 수 없습니다.
dialog_eventRewardBoxGacha_rewardList_warning,스페셜 선물을 획득하면 모든 선물을\n획득하지 않아도 다음 선물 상자로 이동할 수 있습니다.
dialog_eventRewardBoxGacha_rewardList_emptyBoxInfo,선물 상자 내용물을\n모두 획득하였습니다.\n다음 선물 상자로 이동합니다.
dialog_eventRewardBoxGacha_shortageMedal,{0}이 부족합니다.
dialog_eventRewardBoxGacha_remainFormat,{0}/{1}
dialog_eventRewardBoxGacha_notEnoughEventBoxGachaItem,{0}가 부족합니다.
dialog_eventRewardBoxGacha_eventBoxGachaInvalidTerm,종료되었습니다.
dialog_eventRewardBoxGacha_helpViewTitle,마리나 씨의 선물 상자란?
dialog_confirmFriendApplicationCancel_message,친구 신청을 취소합니다.\n진행하시겠습니까?
dialog_confirmFriendApplicationCancel_title,확인
dialog_confirmFriendRelease_message,친구를 취소합니다.\n진행하시겠습니까?
dialog_confirmFriendRelease_title,확인
dialog_friendApplicationCancel_message,친구 신청을 취소하였습니다.
dialog_friendApplicationCancel_title,친구 신청 취소 완료
dialog_friendInvite_inviteButton,초대
dialog_friendInvite_message,친구를 초대합니다. 진행하시겠습니까?
dialog_friendInvite_title,확인
dialog_friendRelease_message,친구를 해제하였습니다.
dialog_friendRelease_title,친구 해제 완료
dialog_friendRequestSent_title,친구 신청 완료
dialog_friendRecommend_messageCommon,\n\n다른 플레이어에게 친구 신청 후\n신청이 승인되면 친구가 됩니다.
dialog_friendRecommend_messageOnCreateRoom,초대할 수 있는 친구가 없습니다.\n친구를 초대하기 위해서는\n다른 플레이어와 친구가 될 필요가 있습니다.
dialog_friendRecommend_messageOnSearchRoom,친구와 초대 룸에서 라이브를 즐기기 위해서는\n다른 플레이어와 친구가 될 필요가 있습니다.
dialog_friendRequestSent_message,친구 신청을 보냈습니다.
dialog_friendRequestError_messageAlreadyApplied,이미 신청을 중입니다.
dialog_friendRequestError_messageAlreadyMadeFriend,이미 친구입니다.
dialog_friendRequestError_messageMyFriendsNumOrApplicationNumIsFull,친구 수 또는\n신청 승인 대기 목록이 가득 찼습니다.
dialog_friendRequestError_messageOpponentFriendsNumOrApprovalPendingNumIsFull,상대의 친구 또는\n신청 승인 대기 목록이 가득 찼습니다.
dialog_friendRoomSelect_comment,룸 이름
dialog_friendRoomSelect_description,친구로부터 라이브 초대가 있습니다. 입장하고 싶은 룸을 선택해주세요.
dialog_friendRoomSelect_enteringRoom,입장
dialog_friendRoomSelect_roomCountLimit,※오래된 순부터 최대 30건이 표시됩니다.
dialog_friendRoomSelect_roomCreator,룸 작성자
dialog_friendRoomSelect_title,친구 초대 룸 선택
dialog_friendRoomSelect_notInvite,현재 친구에게 초대받은 라이브가 없습니다.\n\n「프라이빗」에서 룸을 생성하여\n친구를 라이브에 초대할 수 있습니다.
dialog_gachaConfirm_title,확인
dialog_gachaConfirm_body,{0}을(를) 소비하여\n{1}을(를) 뽑습니다.\n진행하시겠습니까?
dialog_gachaShortage_title,{0} 부족
dialog_gachaShortageTicket_body,{0}이 부족합니다.
dialog_gachaShortageStar_body,{0}가 부족합니다.\n스타 상점으로 이동하시겠습니까?
dialog_gachaDetail_tabFrameOfGacha,출현 확률
dialog_gachaDetail_tabFrameOfCommitment,확정 출현 확률
dialog_gachaDetail_title,뽑기 상세
dialog_gachaDetailInformation_tabTitle,뽑기 설명
dialog_gachaDetailInformation_titleDescription,뽑기 개요
dialog_gachaDetailInformation_titleTerm,진행 기간
dialog_gachaDetailInformation_titleNewMemberInfo,신 멤버 소개
dialog_gachaDetailInformation_titleStepInfo,STEP 내용
dialog_gachaDetailInformation_titleSetInfo,세트 내용
dialog_gachaDetailInformation_titleWarning,주의 사항
dialog_gachaDetailMember_title,출현 멤버 목록
dialog_gachaDetailRarity_title,레어도별 출현확률
dialog_gachaDetail_member,{0} 멤버
dialog_gachaPickup_title,멤버 상세
dialog_gachaNotEnoughStarError_message,스타가 부족합니다.
dialog_gachaNotEnoughTicketError_message,티켓이 부족합니다.
dialog_gachaNotEnoughItemError_message,필요 아이템이 부족합니다.
dialog_gachaNotFoundError_message,종료되었습니다.
dialog_garupaCupSecondQualificationMusic_description1,걸파컵 회장 본예선 라이브가 시작됩니다.\n1차 예선 통과자가 도쿄 빅 사이트 회장의 본예선에서 플레이하여\n상위 랭크에 진입하신 분께서만 준결승에 진출하게 됩니다.\n※회장 본예선에서의 플레이 결과 이외에는 준결승 진출 대상에 포함되지 않습니다.
dialog_garupaCupSecondQualificationMusic_description2,1차 예선을 통과하지 못하신 분이라도 회장의 본예선을 체험하실 수 있습니다.\n많은 플레이 부탁드립니다.
dialog_garupaCupSecondQualificationMusic_title,걸파컵 회장 본예선 라이브
dialog_garupaCupSecondQualificationResultLiveFinish_title,회장 본예선 라이브 종료
dialog_garupaCupSecondQualificationResultLiveFinish_message,{0} 회장 본예선 TOP으로 돌아갑니다.\n계속하시겠습니까?[-]\n\n{1}※도쿄 빅 사이트에서 회장 본예선 라이브에\n참가하신 1차 예선 진출자분께서는\n스태프의 집계가 끝날 때까지\n결과화면에서 기다려 주시기 바랍니다.[-]
dialog_garupaCupEntry_title,걸파컵 참가 신청
dialog_garupaCupEntry_descriptionTop,[505050]1차 예선 라이브는 참가 신청을 하지 않아도 플레이하실 수 있습니다.\n걸파컵 참가를 희망하신다면[-][FE2349]1차 예선 라이브를 1회 이상 플레이하신 후\n참가 신청을 [-][505050]해주시길 바랍니다.\n1차 예선 종료 후 합계 예선 하이 스코어를 토대로\n걸파컵 회장 본예선 출전자를 선발합니다.[-]
dialog_garupaCupEntry_descriptionResult,[505050]1차 예선 라이브는 참가 신청을 하지 않아도 플레이하실 수 있습니다.\n걸파컵 참가를 희망하신다면 참가 신청을 해주시길 바랍니다.\n1차 예선 종료 후 합계 예선 하이 스코어를 토대로\n걸파컵 회장 본예선 출전자를 선발합니다.[-]
dialog_garupaCupEntry_entryAt,참가 신청 기간：{0}까지
dialog_garupaCupEntry_confirm,걸파컵에 참가 신청하시겠습니까?
dialog_highScoreRating_noDataMessage,음악의 플레이 데이터가 존재하지 않습니다.\n선택한 밴드의 음악을 플레이하자!
dialog_hiSpeedSetting_checkMessage,속도 확인
dialog_hiSpeedSetting_neverDisplayMessage1,다시 표시하지 않음
dialog_hiSpeedSetting_neverDisplayMessage2,(옵션의 라이브 설정에서 변경할 수 있습니다.)
dialog_hiSpeedSetting_title,라이브 설정
dialog_hiSpeedSetting_subTitle,리듬 아이콘 속도
dialog_itemDetail_title,아이템 상세
dialog_inputError_characterEmpty,1자 이상 입력해주세요.
dialog_inputError_characterLength,{0}자 이내로 입력해주세요.
dialog_inputError_characterType,사용할 수 없는 글자가 포함되어 있습니다.
dialog_inputError_ngWord,적절하지 않은 단어가 포함되어 있습니다.\n다시 입력해주세요.
dialog_inputError_title,입력 오류
dialog_liveBoostEmpty_title,확인
dialog_liveBoostEmpty_description,라이브 부스트가 없습니다.\n라이브를 클리어해도 이벤트P를\n획득할 수 없지만 진행하시겠습니까?
dialog_liveBoostEmpty_starShopButton,스타 상점
dialog_liveBoostEmpty_liveButton,라이브
dialog_liveBoostExpend_title,라이브 부스트 소비 설정
dialog_liveBoostExpend_caption1,이벤트P
dialog_liveBoostExpend_caption2,보상・EXP
dialog_liveBoostExpend_rate,{0}배
dialog_liveBoostExpend_settingButtonOn,설정 중
dialog_liveBoostExpend_settingButtonOff,설정
dialog_liveBoostExpend_description1,※소지한 수가 설정 소비 수 보다 부족한 경우 소지한 것을\n   모두 소비합니다.
dialog_liveBoostLack_title,라이브 부스트 확인
dialog_liveBoostLack_caption1,설정 소비 수
dialog_liveBoostLack_message1,부스트 드링크 및 스타를 소비하여\n라이브 부스트를 회복할 수 있습니다.
dialog_liveBoostLack_emptyLiveBoostDrink,소지하고 있지 않습니다.
dialog_liveBoostLack_settingButton,소비 설정
dialog_liveBoostLack_goButton,{0}개로 라이브
dialog_liveBoostLack_healLBDrinkButton,소지 아이템
dialog_liveBoostLack_healLBStarButton,스타
dialog_liveBoostLackStar_message,스타가 부족합니다.\n스타 상점으로 이동하시겠습니까?
dialog_liveBoostRecover_overLimitErrorMessageBefore,라이브 부스트의 소지 상한을 초과하였습니다.\n더 이상 구매할 수 없습니다.
dialog_liveBoostRecover_overLimitErrorMessageAfter,라이브 부스트의 소지 상한을 초과하였습니다. 더 이상 회복할 수 없습니다.
dialog_liveBoostRecoverLimit_title,라이브 부스트 MAX
dialog_liveBoostRecoverLimit_message,라이브 부스트가 이미  MAX 상태입니다. 더 이상 회복할 수 없습니다.
dialog_liveBoostRecoverNotEnoughStar_title,스타 부족
dialog_liveBoostRecoverNotEnoughStar_message,소지한 스타가 부족합니다.
dialog_liveBoostRecoverConfirm_title,확인
dialog_liveBoostRecoverConfirm_message,스타를 {0}개 소비하여\n라이브 부스트를 {1}회복합니다.\n진행하시겠습니까?
dialog_liveBoostRecoverConfirm_possessionStarCaption,소지 스타
dialog_liveBoostRecoverConfirm_recoverButton,회복
dialog_liveBoostRecoverItem_title,회복량 선택
dialog_liveBoostRecoverItem_message1,※라이브 부스트는 최대 {0}까지 회복할 수 있습니다.
dialog_liveBoostRecoverItem_healButton,회복
dialog_liveBoostRecoverItemCell_itemNum,x{0}
dialog_liveBoostRecoverItemConfirm_title,라이브 부스트 회복
dialog_liveBoostRecoverItemConfirm_message,선택한 부스트 드링크를 소비하여\n라이브 부스트를 회복합니다. 진행하시겠습니까?
dialog_liveBoostRecoverItemFinish_message,라이브 부스트를 {0}회복했습니다!
dialog_liveSettings_mirror,반전
dialog_liveSettings_coreLightMode,저스펙 모드
dialog_liveSettings_coreAdjustJudgement,판정 조절
dialog_liveSettings_standardRhythmIconSpeed,리듬 아이콘 속도
dialog_liveSettings_standardRhythmIconSize,리듬 아이콘 크기
dialog_liveSettings_standardSkin,스킨
dialog_liveSettings_standardRhythmIconColored,리듬 색각 서포트 
dialog_liveSettings_standardJudgementSound,판정 사운드
dialog_liveSettings_standardSimultaneousLine,동시 입력 라인
dialog_liveSettings_standardSkillWindow,스킬 윈도우
dialog_liveSettings_standardTapAdjustTimingButton,탭으로 조정
dialog_liveSettings_standardDisplaySkillEffect,스킬 효과 표시
dialog_liveSettings_liveBGM,음악
dialog_liveSettings_liveSE,라이브 SE
dialog_liveSettings_liveVoice,라이브 보이스
dialog_liveSettings_systemBGM,BGM
dialog_liveSettings_systemSE,SE
dialog_liveSettings_systemVoice,보이스
dialog_liveSettings_systemScreenOrientation,화면 고정
dialog_liveSettings_systemLiveBoostShortageConfirm,부족 확인
dialog_liveSettings_tabStandardSetting,라이브 설정
dialog_liveSettings_tabLiveVolumeSetting,라이브 연출・음량 설정
dialog_liveSettings_title,옵션
dialog_loadMapError_body,로딩에 실패했습니다. 타이틀로 이동합니다.
dialog_loadMapError_title,오류
dialog_matching_description,룸을 찾고 있습니다.
dialog_matching_title,매칭 중
dialog_matching_warning,※혼잡 시 매칭 시간이 오래 걸릴 수 있습니다.\n\n※이동 시에는 안정적인 플레이를 위하여\nLTE나 3G망을 이용해주세요.
dialog_memberDecideConfirm_existNotArraivalMember,※입장 대기 중인 멤버가 있습니다.
dialog_memberDecideConfirm_message,※{0} 명으로 라이브를 시작합니다. 진행하시겠습니까?
dialog_menuList_title,메뉴
dialog_memorialStoryMember_title,메인 멤버
dialog_memorialStoryReleaseCondition_title,오픈 조건
dialog_memorialStoryReleaseCondition_conditionUserRank,플레이어 랭크가 {0}일 때\n오픈
dialog_memorialStoryReleaseCondition_conditionBandRank,{0}의 밴드 랭크가 {1}일 때\n오픈
dialog_memorialStoryReleaseCondition_conditionAllBandRank,모든 밴드의\n밴드 랭크가 {0}이상일 때 오픈
dialog_multiEntranceWebviewTitle,룸 타입
dialog_musicDetail_title,음악 상세
dialog_musicDetail_bandNameCaption,연주 밴드：
dialog_musicDetail_composerCaption,작곡 : 
dialog_musicDetail_lyricistCaption,작사 : 
dialog_musicDetail_musicDetailCaption,상세 정보
dialog_missionDetail_detail,상세
dialog_missionDetail_progress,달성도
dialog_missionDetail_timeLeft,남은 기간
dialog_missionDetail_reward,보상
dialog_missionDetail_indefinitePeriod,기간 없음
dialog_news_title,공지사항
dialog_nickNameChange_message,플레이어 이름은 10자 내로 입력해주세요.
dialog_nickNameChange_title,오류
dialog_nickNameChanged_message,플레이어 이름을 변경했습니다!
dialog_nickNameChanged_title,변경 완료
dialog_opponentRequestApprove_message,친구 신청을 승인했습니다.
dialog_opponentRequestApprove_title,친구 신청 승인 완료
dialog_opponentRequestReject_message,친구 신청을 거절했습니다.
dialog_opponentRequestReject_title,친구 신청 거절 완료.
dialog_pendingBillingExist_title,중단하고 있는 구매 재개
dialog_pendingBillingExist_message,이전의 구매 처리가 정상적으로 종료되지 않았습니다.\n잠시만 기다려 주세요.
dialog_pendingBillingFinish_title,구매 처리 종료
dialog_pendingBillingFinish_message,중단되었던 처리가 종료되었습니다.
dialog_possessionStar_labelFree,무료
dialog_possessionStar_labelPaid,유료
dialog_possessionStar_labelTotal,합계 스타
dialog_possessionStar_message,[FE2349]무료 스타가 먼저 소비됩니다.[-]
dialog_possessionStar_title,소지 스타 확인
dialog_premiumPassDetail_buyableConditions,・「프리미엄 해피 BOX」는 30일이 지나면 다시 구매하실 수 있습니다.
dialog_premiumPassDetail_receiveCount,・1일 1회 선물은 최대 25회까지 받으실 수 있습니다.
dialog_premiumPassDetail_receiveTiming,・1일 1회 선물(무료 스타)은 게임에 로그인하실 경우\n획득할 수 있습니다.
dialog_premiumPassDetail_reset,・1일 1회 선물은 매일 4시에 초기화됩니다.
dialog_premiumPassDetail_revocation,・「프리미엄 해피 BOX」는 구매 후 30일이 지나면 1일 1회 선물을\n전부 받지 않은 상태라도 혜택이 종료되오니 주의 바랍니다.
dialog_premiumPassDetail_title,프리미엄 해피 BOX에 대해서
dialog_presentReceiveBulk_title,일괄 수령 완료
dialog_presentReceiveBulk_description,이하의 보상을 획득했습니다.
dialog_presentReceiveSingle_title,수령 완료
dialog_presentReceiveSingle_description,이하의 보상을 획득했습니다.
dialog_presentReceiveSituationAlreadyHave,이미 획득했기 때문에 대기실로 보냈습니다.
dialog_presentReceiveSituationAlreadyHaveSingular,이미 획득한 멤버이기 때문에 대기실로 보냈습니다.
dialog_privateRoomNotFoundError_message,선택하신 룸을 찾지 못했습니다.
dialog_privateRoomVersionError_message,게임의 버전이 일치하지 않는 룸입니다.
dialog_privateRoomOverError_message,선택하신 룸은 더 이상 입장할 수 없습니다.
