tutorialarea_shop_title	Shop Items
commonEvent_status_collection	Rank Period
commonEvent_status_result	Results Period
commonEvent_story_descriptionLive	Get Event Pts & Badges!
commonEvent_totalPoint	Total Event Pts
commonEvent_eventBoxGacha_title	Get gifts from Marina!
costume_defaultDescription	Band Costume
costume_defaultDescriptionDetail	※Members not in your Main Band will use their "Stage" costumes.
degreeSelect_currentDegree_caption	Current Title
degreeSelect_message_notExist	No Titles unlocked.
degreeSelect_selectDegree_eventTab	Event
degreeSelect_selectDegree_normalTab	Regular
degreeSelect_selectDegree_caption	New Title
difficulty_easy	EASY
difficulty_normal	NORMAL
difficulty_hard	HARD
difficulty_expert	EXPERT
dialog_achievement_a	A
dialog_achievement_b	B
dialog_achievement_c	C
dialog_achievement_combo_english	Combo
dialog_achievement_combo	Combo
dialog_achievement_fullCombo	Full Combo
dialog_achievement_reward	Rewards
dialog_achievement_s	S
dialog_achievement_ss	SS
dialog_achievement_score	Score
dialog_achievement_scoreRank	Score Rank
dialog_achievement_viewReward	Item Rewards
dialog_ageAuth_attention	※Your answer cannot be changed.※
dialog_ageAuth_errorMessage	Invalid birthdate.
dialog_ageAuth_message	Please enter your birthday.
dialog_ageAuth_title	Age Verification
dialog_ageAuth_wordChristianEra	
dialog_ageAuth_wordMonth	
dialog_ageAuth_wordYear	
dialog_ageAuthDone_message	[505050]Age has been verified.[-]
dialog_ageAuthDone_title	Confirm
dialog_ageAuthPurchaseError_title	Purchase Error
dialog_areaItemDetail_title	Area Item Details
dialog_areaShop_buyConfirm	Purchase this Area Item?
dialog_areaShop_buyMusicConfirm	Purchase this song?
dialog_areaShop_levelupConfirm	Level up this Area Item?
dialog_areaShop_buyMusic	Song purchase complete!
dialog_areaShop_levelup	Area Item leveled up!
dialog_areaShop_replace	Replace currently set Area Item?
dialog_areaShop_send	Your purchased Area Item was sent to storage.
dialog_areaShop_requireFormat	{0}/{1}
dialog_areaShop_bandRank	Band Rank
dialog_areaShop_requireItem	Items Needed
dialog_areaShop_requireItemAndBandRank	Items Needed / Band Rank
dialog_areaShopReplace_replaceButton	Replace
dialog_areaShopReplace_putting	Set Item
dialog_areaItemDetail_captionFlavor	About
dialog_areaItemDetail_captionLevel	Level
dialog_areaItemDetail_captionParamUp	Item Effect
dialog_areaItemDetail_captionPlace	Area
dialog_areaItemDetail_effect	Effect
dialog_areaItemDetail_tabDetail	Item Details
dialog_areaItemDetail_tabTalk	Conversations
dialog_areaItemDetail_requireItem	Coins / Items Needed
dialog_badPenalty_leftTime	Feature Block Ends In
dialog_badPenalty_message	We have discovered actions constituting harassment of other players originating from your account. As such, your access to this feature has been temporarily blocked.
dialog_badPenalty_title	Warning
dialog_bandNameChange_message	Band name has been changed.
dialog_bandNameChange_title	Band Name
dialog_bandNameChangeError_message	Band name change failed.
dialog_bandRankReward_title	Band Rank Prizes
dialog_bandRankReward_untilRankup	Rank Up In
dialog_bandRankReward_totalExp	Total EXP
dialog_bandRankReward_bandStoryDescription	Band Story {0}
dialog_bandRankReward_areaItemDescription	Unlock {0} Level {1}
dialog_bandRankReward_rewardDegree	Title "{0}"
dialog_bandRankReward_rewardList_title	Prizes
dialog_bandRankReward_rewardList_description	Band Rank prizes received!
dialog_playerSearchError_message	Player could not be found.
dialog_playerSearchError_title	Error
dialog_playerSearch_description	Please enter a player ID.
dialog_playerSearch_searchButtonLabel	Search
dialog_billingNotSurpported_message	This device cannot be used to make purchases.
dialog_expendCP_title	Select Challenge Pts
dialog_expendCP_warning	※Use more Challenge Pts, get more Event Pts.\n※Your Score will not be affected.\n※Live Boosts cannot be used on Challenge Songs.
dialog_expendCP_shortage	Not enough Challenge Pts.
dialog_cheatError_message	Unexpected connection result.\nReturning to title.
dialog_costume_getMessage	New costume received.
dialog_costume_getTitle	New Costume
dialog_deckEditBandName_title	Band Name
dialog_deckEditDeleteDeck_message	This band will be reset.\nAre you sure?
dialog_deckEditDeleteDeck_title	Reset
dialog_deckEditDeleteDeckDone_message	Band has been reset.
dialog_deckEditDeleteDeckDone_title	Reset
dialog_deckEditDeleteDeckError_message	Band reset failed.
dialog_deckEditMainBandSelected_message	{0} set to Main Band.
dialog_deckEditMainBandSelected_title	Main Band
dialog_deckEditNotEnoughMemberError_message	This band does not have 5 members.\nIt cannot be set as your Main Band.
dialog_deckEditSameCharacterTitle	Member Warning
dialog_deckNameEdit_attentionMessage	※Up to 16 characters.
dialog_deckNameEdit_message	Please enter a band name.
dialog_deckNameEdit_placeholder	Band Name
dialog_deckNameEdit_title	Band Name
dialog_deckRecommend_title	Auto Band
dialog_deckRecommend_captionPriority	Band Focus
dialog_deckRecommend_caption	Preferred Band
dialog_deckRecommend_captionType	Preferred Type
dialog_deckRecommend_noConditions	None
dialog_deckRecommend_priorityType	Type
dialog_deckRecommend_priorityBand	Band
dialog_deckRecommend_finishDeckChange	Band has been formed automatically.
dialog_degreeDetail_title	Title Details
dialog_degreeDetail_acquiredCondition	About
dialog_editUserName_title	Player Name
dialog_editUserName_body	Please enter your name.
dialog_editUserName_limitWord	※Up to 20 characters.
dialog_editUserName_canChangeMessage	※Your username can be changed later.※
dialog_encoreConfirm_title	Encore
dialog_encoreConfirm_message	Stay in this same room\nand play one more show?
dialog_episodeConfirm_message	Watch this Episode?\n{0}
dialog_episodeConfirm_title	Episode
dialog_episodeParamUp_title	Episode Bonus
dialog_episodeParamUp_description	\nStats increased!
dialog_episodePlay_title	Episode
dialog_episodeRead_title	Episode Bonus
dialog_episodeUnlock_message	Use the following items\nto unlock Episode "{0}"?
dialog_episodeUnlock_needLevelLabel	Level {0}+ Needed
dialog_episodeUnlock_title	Unlock Episode
dialog_episodeUnlockedError_message	Invalid data.
dialog_episodeUnlocked_message	Episode "{0}" unlocked.\nWould you like to watch it now?
dialog_episodeUnlocked_title	Unlocked
dialog_exchange_exchangeCount	Exchange
dialog_exchange_exchangeButton	Exchange
dialog_exchange_exchangeOkButton	OK
dialog_exchangeDone_title	Exchange complete!
dialog_exchangeQuantity_title	How many would you like?
dialog_exchangeConfirm_title	Confirmation
dialog_exchange_periodOver	Exchange period has ended.
dialog_event_close	Event has ended.
dialog_eventResultBadUserAlert_title	Warning
dialog_eventResultBadUserAlert_message	Your live performance did not reach a specified requirement. As such, you have not earned any Event Pts.
dialog_eventReward_title	Prizes
dialog_eventReward_description	{0} Pts prize received!
dialog_eventRewardBoxGacha_deadlineDateFormat	Ends {0}
dialog_eventRewardBoxGacha_currentSet_title	Box #{0}
dialog_eventRewardBoxGacha_lastSet_title	From Box #{0}
dialog_eventRewardBoxGacha_attentionReward_title	Featured Gift
dialog_eventRewardBoxGacha_changeBox	Next Gift
dialog_eventRewardBoxGacha_rewardList_title	Box Contents
dialog_eventRewardBoxGacha_special	Special
dialog_eventRewardBoxGacha_possession	Owned
dialog_eventRewardBoxGacha_medalCount	
dialog_eventRewardBoxGacha_resetFinish_title	Reset complete.
dialog_eventRewardBoxGacha_confirm	Confirm
dialog_eventRewardBoxGacha_medalUnit	
dialog_eventRewardBoxGacha_rewardUnit	
dialog_eventRewardBoxGacha_resetFinish_message	Proceeding to next gift box.
dialog_eventRewardBoxGacha_resetFinish_allReceivedMessage	All gift box contents received.\nProceeding to next gift box.
dialog_eventRewardBoxGacha_startContinueConfirm_message	Giving {0} x{1}\nto receive {2} gifts.\nAre you sure?
dialog_eventRewardBoxGacha_resetConfirm_message	Gift box contents will be reset\nand you will proceed to the next gift box.\nAre you sure?
dialog_eventRewardBoxGacha_resetConfirm_warning	※You cannot go back to a\n　previous gift box after resetting.
dialog_eventRewardBoxGacha_rewardList_warning	Getting the Special Prize will let you move on\nto the next gift box without needing all contents.
dialog_eventRewardBoxGacha_rewardList_emptyBoxInfo	All gift box contents received.\nProceeding to next gift box.
dialog_eventRewardBoxGacha_shortageMedal	Not enough {0}.
dialog_eventRewardBoxGacha_remainFormat	{0}/{1}
dialog_eventRewardBoxGacha_notEnoughEventBoxGachaItem	Not enough {0}.
dialog_eventRewardBoxGacha_eventBoxGachaInvalidTerm	Campaign has ended.
dialog_eventRewardBoxGacha_helpViewTitle	Marina's Gift Box?
dialog_confirmFriendApplicationCancel_message	Friend request will be canceled.\nAre you sure?
dialog_confirmFriendApplicationCancel_title	Confirmation
dialog_confirmFriendRelease_message	This Friend will be removed.\nAre you sure?
dialog_confirmFriendRelease_title	Confirmation
dialog_friendApplicationCancel_message	Friend request has been canceled.
dialog_friendApplicationCancel_title	This Friend has been removed.
dialog_friendInvite_inviteButton	Invite
dialog_friendInvite_message	This Friend will be invited.\nAre you sure?
dialog_friendInvite_title	Confirmation
dialog_friendRelease_message	This Friend has been removed.
dialog_friendRelease_title	Friend Removed
dialog_friendRequestSent_title	Friend Request Sent
dialog_friendRecommend_messageCommon	\n\nSend requests to other players and\nif they accept you will become Friends.
dialog_friendRecommend_messageOnCreateRoom	No Friends to invite.\nYou must make Friends with other\nplayers in order to invite them.
dialog_friendRecommend_messageOnSearchRoom	In order to play together with Friends,\nyou must first make Friends with other players.
dialog_friendRequestSent_message	Friend request has been sent.
dialog_friendRequestError_messageAlreadyApplied	You have already sent a request.
dialog_friendRequestError_messageAlreadyMadeFriend	This player is already your Friend.
dialog_friendRequestError_messageMyFriendsNumOrApplicationNumIsFull	Your Friend limit\nor request limit has been reached.
dialog_friendRequestError_messageOpponentFriendsNumOrApprovalPendingNumIsFull	This player's Friend limit\nor request limit has been reached.
dialog_friendRoomSelect_comment	Comment
dialog_friendRoomSelect_description	A Friend has invited you to play with them. Please choose a room to enter.
dialog_friendRoomSelect_enteringRoom	Join
dialog_friendRoomSelect_roomCountLimit	※The oldest 30 rooms will be shown.
dialog_friendRoomSelect_roomCreator	Room Host
dialog_friendRoomSelect_title	Select Invite Room
dialog_friendRoomSelect_notInvite	You do not currently have any invites from Friends.\n\nYou can tap the Private button to create a room\nand invite your Friends to join.
dialog_gachaConfirm_title	Confirm
dialog_gachaConfirm_body	Spending {0}\nto play the {1}.\nAre you sure?
dialog_gachaShortage_title	Not enough {0}.
dialog_gachaShortageTicket_body	Not enough {0}.
dialog_gachaShortageStar_body	Not enough {0}.\nHead to the Star Shop?
dialog_gachaDetail_tabFrameOfGacha	Drop Rates
dialog_gachaDetail_tabFrameOfCommitment	Fixed Drop Rates
dialog_gachaDetail_title	Gacha Details
dialog_gachaDetailInformation_tabTitle	About
dialog_gachaDetailInformation_titleDescription	Summary
dialog_gachaDetailInformation_titleTerm	Gacha Period
dialog_gachaDetailInformation_titleNewMemberInfo	New Members
dialog_gachaDetailInformation_titleStepInfo	Step Details
dialog_gachaDetailInformation_titleSetInfo	Set Details
dialog_gachaDetailInformation_titleWarning	Precautions
dialog_gachaDetailMember_title	Gacha Member List
dialog_gachaDetailRarity_title	Drop Rates (Rarity)
dialog_gachaDetail_member	{0} Members
dialog_gachaPickup_title	Member Details
dialog_gachaNotEnoughStarError_message	Not enough Stars.
dialog_gachaNotEnoughTicketError_message	Not enough Tickets.
dialog_gachaNotEnoughItemError_message	Not enough items.
dialog_gachaNotFoundError_message	Gacha has ended.
dialog_garupaCupSecondQualificationMusic_description1	Girls Band Party! Cup Live Arena Qualifiers will begin soon.\nPlayers who cleared the Game Qualifiers will be\ninvited to play at Tokyo Big Sight, with those who\nreach the top ranks moving on to the Semi Finals.\n※Only Live Arena Qualifier results will count towards\nSemi Finals participation.
dialog_garupaCupSecondQualificationMusic_description2	Players who did not manage to pass the Game Qualifiers\nare still invited to experience the Live Arena Qualifiers themselves.
dialog_garupaCupSecondQualificationMusic_title	Girls Band Party! Cup Live Arena Qualifiers
dialog_garupaCupSecondQualificationResultLiveFinish_title	Live Arena Qualifiers Ended
dialog_garupaCupSecondQualificationResultLiveFinish_message	{0}Returning to the Arena Qualifiers screen.\nAre you sure?[-]\n\n{1}※Players participating in the Tokyo Big Sight\nLive Arena Qualifiers should not leave this screen\nuntil the staff have calculated all results.[-]
dialog_garupaCupEntry_title	Girls Band Party! Cup Entry
dialog_garupaCupEntry_descriptionTop	[505050]Entry is not required to take part in the Game Qualifiers.\nPlayers who wish to take part in the Live Arena Qualifiers\n[-][FE2349]must play the Game Qualifiers at least once to be entered.[-][505050]\nAfter the Game Qualifying period has ended, players will be chosen\nbased on their score rankings to move on to the next stage.[-]
dialog_garupaCupEntry_descriptionResult	[505050]Entry is not required to take part in the Game Qualifiers.\nHowever, players who wish to take part in the\nLive Arena Qualifiers will need to enter officially.\nAfter the Game Qualifying period has ended, players will be chosen\nbased on their score rankings to move on to the next stage.
dialog_garupaCupEntry_entryAt	Entry Period: Until {0}
dialog_garupaCupEntry_confirm	Enter the Girls Band Party! Cup?
dialog_highScoreRating_noDataMessage	No play data for this song.\nPlay it now to set a score!
dialog_hiSpeedSetting_checkMessage	Speed Settings
dialog_hiSpeedSetting_neverDisplayMessage1	Don't show again.
dialog_hiSpeedSetting_neverDisplayMessage2	(Setting can be changed from the Options menu.)
dialog_hiSpeedSetting_title	Live Settings
dialog_hiSpeedSetting_subTitle	Note Speed
dialog_itemDetail_title	Item Details
dialog_inputError_characterEmpty	Please enter at least one character.
dialog_inputError_characterLength	Please keep within {0} characters.
dialog_inputError_characterType	Please remove incompatible characters.
dialog_inputError_ngWord	Please remove inappropriate\nlanguage and try again.
dialog_inputError_title	Input Error
dialog_liveBoostEmpty_title	Confirmation
dialog_liveBoostEmpty_description	No Live Boosts remaining.\nYou will not receive any Event Pts\nupon completion. Are you sure?
dialog_liveBoostEmpty_starShopButton	Star\nShop
dialog_liveBoostEmpty_liveButton	Live
dialog_liveBoostExpend_title	Live Boost Settings
dialog_liveBoostExpend_caption1	Event Pts
dialog_liveBoostExpend_caption2	Prizes / EXP
dialog_liveBoostExpend_rate	x {0}
dialog_liveBoostExpend_settingButtonOn	Active
dialog_liveBoostExpend_settingButtonOff	Set
dialog_liveBoostExpend_description1	※If your remaining Live Boosts are lower than the amount set\n   all remaining Live Boosts will be used.
dialog_liveBoostLack_title	Live Boost Settings
dialog_liveBoostLack_caption1	Set
dialog_liveBoostLack_message1	You can use Boost Drinks or Stars\nto recover Live Boosts.
dialog_liveBoostLack_emptyLiveBoostDrink	None Owned
dialog_liveBoostLack_settingButton	Settings
dialog_liveBoostLack_goButton	{0} Start
dialog_liveBoostLack_healLBDrinkButton	Items
dialog_liveBoostLack_healLBStarButton	Stars
dialog_liveBoostLackStar_message	You do not have enough Stars.\nHead to the Star Shop?
dialog_liveBoostRecover_overLimitErrorMessageBefore	You cannot purchase these\nas you will go over the Live Boost limit.
dialog_liveBoostRecover_overLimitErrorMessageAfter	You cannot recover now\nas you will go over the Live Boost limit.
dialog_liveBoostRecoverLimit_title	Live Boost MAX
dialog_liveBoostRecoverLimit_message	You cannot recover now\nas you are at Live Boost MAX.
dialog_liveBoostRecoverNotEnoughStar_title	Not Enough Stars
dialog_liveBoostRecoverNotEnoughStar_message	You do not have enough Stars.
dialog_liveBoostRecoverConfirm_title	Confirmation
dialog_liveBoostRecoverConfirm_message	Spending {0} Stars\nto recover {1} Live Boosts.\nAre you sure?
dialog_liveBoostRecoverConfirm_possessionStarCaption	Stars
dialog_liveBoostRecoverConfirm_recoverButton	Recover
dialog_liveBoostRecoverItem_title	Recovery Amount
dialog_liveBoostRecoverItem_message1	※You can recover up to {0} Live Boosts.
dialog_liveBoostRecoverItem_healButton	Recover
dialog_liveBoostRecoverItemCell_itemNum	x {0}
dialog_liveBoostRecoverItemConfirm_title	Live Boost Recovery
dialog_liveBoostRecoverItemConfirm_message	Boost Drinks will be spent\nto recover Live Boosts. Are you sure?
dialog_liveBoostRecoverItemFinish_message	{0} Live Boosts recovered!
dialog_liveSettings_mirror	Mirror
dialog_liveSettings_coreLightMode	Light Mode
dialog_liveSettings_coreAdjustJudgement	Sound Adjustment
dialog_liveSettings_standardRhythmIconSpeed	Note Speed
dialog_liveSettings_standardRhythmIconSize	Note Size
dialog_liveSettings_standardSkin	Theme
dialog_liveSettings_standardRhythmIconColored	Off-Beat Coloring
dialog_liveSettings_standardJudgementSound	Tap Sound
dialog_liveSettings_standardSimultaneousLine	Dual Tap Line
dialog_liveSettings_standardSkillWindow	Skill Window
dialog_liveSettings_standardTapAdjustTimingButton	Tap to adjust sound.
dialog_liveSettings_standardDisplaySkillEffect	Skill Effect Text
dialog_liveSettings_liveBGM	Songs
dialog_liveSettings_liveSE	Live SFX
dialog_liveSettings_liveVoice	Live Voice
dialog_liveSettings_systemBGM	BGM
dialog_liveSettings_systemSE	SFX
dialog_liveSettings_systemVoice	Voice
dialog_liveSettings_systemScreenOrientation	Fix Screen
dialog_liveSettings_systemLiveBoostShortageConfirm	Shortage Check
dialog_liveSettings_tabStandardSetting	Live Settings
dialog_liveSettings_tabLiveVolumeSetting	Effect & Sound Settings
dialog_liveSettings_title	Options
dialog_loadMapError_body	Data download error. Returning to title.
dialog_loadMapError_title	Error
dialog_matching_description	Searching for rooms.
dialog_matching_title	Matching
dialog_matching_warning	※It may take a short while during busy periods.
dialog_memberDecideConfirm_existNotArraivalMember	※Members are currently waiting.
dialog_memberDecideConfirm_message	Starting the show with {0} members.\nAre you sure?
dialog_menuList_title	Menu
dialog_memorialStoryMember_title	Main Members
dialog_memorialStoryReleaseCondition_title	Unlock
dialog_memorialStoryReleaseCondition_conditionUserRank	Unlocked at\nPlayer Rank {0}.
dialog_memorialStoryReleaseCondition_conditionBandRank	Unlocked at {0}\nBand Rank {1}.
dialog_memorialStoryReleaseCondition_conditionAllBandRank	Unlocked at\nall bands reaching\nBand Rank {0}.
dialog_multiEntranceWebviewTitle	Room Type
dialog_musicDetail_title	Song Details
dialog_musicDetail_bandNameCaption	Band:
dialog_musicDetail_composerCaption	Composer:
dialog_musicDetail_lyricistCaption	Lyrics:
dialog_musicDetail_musicDetailCaption	Details
dialog_missionDetail_detail	Details
dialog_missionDetail_progress	Progress
dialog_missionDetail_timeLeft	Time Left
dialog_missionDetail_reward	Prizes
dialog_missionDetail_indefinitePeriod	Expires: Never
dialog_news_title	Notices
dialog_nickNameChange_message	Please keep your name within 20 characters.
dialog_nickNameChange_title	Error
dialog_nickNameChanged_message	Player name changed!
dialog_nickNameChanged_title	Name Change
dialog_opponentRequestApprove_message	Friend request has been accepted.
dialog_opponentRequestApprove_title	Friend Request Accepted
dialog_opponentRequestReject_message	Friend request has been rejected.
dialog_opponentRequestReject_title	Friend Request Rejected
dialog_pendingBillingExist_title	Interrupted Purchase
dialog_pendingBillingExist_message	Your previous purchase was not completed correctly.\nPlease wait a moment.
dialog_pendingBillingFinish_title	Purchase Complete
dialog_pendingBillingFinish_message	Your previous purchase has been completed successfully.
dialog_possessionStar_labelFree	Free
dialog_possessionStar_labelPaid	Paid
dialog_possessionStar_labelTotal	Total
dialog_possessionStar_message	[FE2349]Free Stars will always be used first.[-]
dialog_possessionStar_title	Owned
dialog_premiumPassDetail_buyableConditions	\n・The Premium Happy Box will become available again 30 days\nafter purchase.
dialog_premiumPassDetail_receiveCount	・The daily reward can be received up to 25 times.
dialog_premiumPassDetail_receiveTiming	・The daily reward (Free Stars) can be received upon starting\nthe app each day.
dialog_premiumPassDetail_reset	・The daily reward timer is reset at <#8:00#> each day.
dialog_premiumPassDetail_revocation	・30 days after purchasing the Premium Happy Box, the daily\nreward will become unavailable regardless of how many times\nit was received.
dialog_premiumPassDetail_title	About Premium Happy Box
dialog_presentReceiveBulk_title	All presents accepted.
dialog_presentReceiveBulk_description	You received the above prizes.
dialog_presentReceiveSingle_title	Present accepted.
dialog_presentReceiveSingle_description	You received the above prize.
dialog_presentReceiveSituationAlreadyHave	Duplicate members have been sent to the Waiting Room.
dialog_presentReceiveSituationAlreadyHaveSingular	Duplicate members have been sent to the Waiting Room.
dialog_privateRoomNotFoundError_message	Room could not be found.
dialog_privateRoomVersionError_message	This room has an app version mismatch.
dialog_privateRoomOverError_message	This room is full.
dialog_privateRoomPlayingError_message	This room is already playing.
dialog_privateRoom_copyRoomNumber	Copy No.
dialog_privateRoom_createRoom	Create
dialog_privateRoom_typeCaption	Room Type
dialog_privateRoom_nameCaption	Room Name
dialog_privateRoom_nameLimit	Up to 20 characters
dialog_privateRoom_numberCaption	Room No.
dialog_privateRoom_roomSelect	Room Limit
dialog_privateRoom_title	Create Private Room
dialog_privateRoomDenied_description	Your Main Band's Power is too low\nto be able to join this room.
dialog_privateRoomDenied_needPower	Power Needed
dialog_privateRoomDenied_room	Room
dialog_privateRoomDenied_title	Power Too Low
dialog_privateRoomEntrance_createButton	Create
dialog_privateRoomEntrance_createDescription	Make a new room!
dialog_privateRoomEntrance_joinDescription	Join a friend's room!
dialog_privateRoomJoin_description	Enter your 5-digit room number to play Multi Live with friends!
dialog_privateRoomJoin_descriptionVersus	Enter your 5-digit room number to play VS Live with friends!
dialog_privateRoomJoin_joinButton	Join
dialog_privateRoomJoin_title	Join Private Room
dialog_privateRoomLeave_title	Leave Private Room
dialog_privateRoomLeave_confirm	Are you sure you want to\nleave this private room?
dialog_publishConfig_title	Profile Settings
dialog_publishConfig_publish	Public
dialog_publishConfig_closed	Hidden
dialog_purchaseCancel_title	Cancel
dialog_purchaseCancel_message	Purchase was canceled.
dialog_purchaseComplete_title	Purchase Complete
dialog_purchaseFailed_message	Purchase failed.
dialog_purchaseFailed_messageOutOfTerm	This item has expired or you have\nreached the maximum number of purchases.
dialog_rankReward_itemDescription	{0} x{1}
dialog_rankUp_liveBoostLimitCaution	※You can only recover up to {0} Live Boosts.
dialog_rankUp_recoveryLiveBoost	{0} Live Boosts recovered!
dialog_rankUp_recoveryLiveBoostChange	[4C4C4C]You reached Rank {0}!\nYour Live Boosts\nwill now recover by [-][FF3B72]{1}[-][4C4C4C]\neach time you rank up![-]
dialog_rankUp_recoveryLiveBoostFriendLimitChange	Friend slots increased by {0}.
dialog_rankUp_bandStoryOpenBandName	{0} Band Story
dialog_rankUp_bandStoryOpenChapter	{0} has been unlocked!
dialog_rankUp_mainStoryOpenChapter	Main Story "{0}" has been unlocked!
dialog_rankUp_title	Rank Up!
dialog_rankUp_getReward_title	Prizes
dialog_rankUp_getReward_message	You received the following prize!
dialog_rankUp_levelUpperLimitOpen_title	Max Level Increased
dialog_rankUp_levelUpperLimitOpen_message	Your maximum Level has been increased!
dialog_rankUp_levelUpperLimitOpen_areaItem_message	{0}'s maximum Level has been increased!
dialog_rankUp_levelUpperLimitOpen_levelMax	Max Level
dialog_recoverLiveBoost_title	Live Boost Recovery
dialog_recoverLiveBoost_message	{0} Live Boosts recovered!
dialog_reviewRequest_message	Thank you for playing Girls Band Party!\n\nLeave a review\nand let us know what you think!
dialog_reviewRequest_rejectionButton	Cancel
dialog_reviewRequest_reviewButton	Review
dialog_reviewRequest_title	Review
dialog_rewardAreaItem_message	Item sent to storage.
dialog_rewardAreaItem_talk	Conversations
dialog_rewardAreaItem_areaItemEffect	Item Effect
dialog_rewardItem_message	You got a prize!
dialog_rewardMusic_message	{0}\nNew song unlocked!
dialog_rhythmAdjust_title	Sound Adjustment
dialog_rhythmAdjust_resultEnd	END
dialog_rhythmAdjust_resultStart	START
dialog_rhythmAdjust_message	Please tap the circle to the rhythm as you hear it.
dialog_rhythmAdjustReady_adjustButton	Start
dialog_rhythmAdjustReady_message	Adjusting the sound/note balance.\nPlease tap the circle to the rhythm as you hear it.
dialog_rhythmAdjustReady_title	Sound Adjustment
dialog_rhythmAdjustDone_title	Adjustment Complete
dialog_rhythmAdjustDone_retakeButton	Try Again
dialog_rhythmAdjustDone_decideButton	Confirm
dialog_rhythmgameGameOverContinue_title	Continue
dialog_rhythmgameGameOverContinue_message	Spend {0} Stars\nto recover energy and continue?
dialog_rhythmgameGameOverGarupaCup_message	You have run out of Energy.\nYou cannot continue the Girls Band Party! Cup.\nReturning to Girls Band Party! Cup top screen.
dialog_rhythmgameGameOver_title	Live Show Failed
dialog_rhythmgameGameOver_message	You have run out of energy.\nYou can spend {0} Stars\nto recover energy and continue.
dialog_rhythmgameGameOver_continueButton	Continue
dialog_rhythmgameGameOver_retireButton	Give Up
