tutorialarea_shop_title,販售物一覽
dialog_episodeUnlocked_message,已解鎖EPISODE「{0}」。\n要閱讀故事嗎？
dialog_episodeUnlocked_title,解鎖完畢
dialog_exchange_exchangeCount,交換數
dialog_exchange_exchangeButton,交換
dialog_exchange_exchangeOkButton,OK
dialog_exchangeDone_title,交換完成！
dialog_exchangeQuantity_title,要交換多少數量呢？
dialog_exchangeConfirm_title,請確認交換數量
dialog_exchange_periodOver,交換期間已經截止。
dialog_event_close,活動已經截止。
dialog_eventResultBadUserAlert_title,注意事項
dialog_eventResultBadUserAlert_message,您的LIVE\n因為沒有達到一定以上標準，\n活動P以及胸章為0。\n敬請諒解。
dialog_eventReward_title,獲得報酬
dialog_eventReward_description,獲得累計{0}P達成報酬！
dialog_eventRewardBoxGacha_deadlineDateFormat,至MM/dd　HH:mm為止
dialog_eventRewardBoxGacha_currentSet_title,第{0}箱
dialog_eventRewardBoxGacha_lastSet_title,第{0}箱後
dialog_eventRewardBoxGacha_attentionReward_title,注目獎勵
dialog_eventRewardBoxGacha_changeBox,前往下個獎勵箱
dialog_eventRewardBoxGacha_rewardList_title,獎勵箱內容物
dialog_eventRewardBoxGacha_special,特別
dialog_eventRewardBoxGacha_possession,持有
dialog_eventRewardBoxGacha_medalCount,張
dialog_eventRewardBoxGacha_resetFinish_title,重置完畢
dialog_eventRewardBoxGacha_confirm,確認
dialog_eventRewardBoxGacha_medalUnit,個
dialog_eventRewardBoxGacha_rewardUnit,個
dialog_eventRewardBoxGacha_resetFinish_message,前往下個獎勵箱。
dialog_eventRewardBoxGacha_resetFinish_allReceivedMessage,因獎勵箱內容物已全數領取完畢，\n前進至下個獎勵箱。
dialog_eventRewardBoxGacha_startContinueConfirm_message,確定要用{0}{1}個\n領取{2}個獎勵嗎？
dialog_eventRewardBoxGacha_resetConfirm_message,確定重置獎勵箱內容物\n前往下個獎勵箱嗎？
dialog_eventRewardBoxGacha_resetConfirm_warning,※獎勵箱重置後無法返回先前的獎勵箱
dialog_eventRewardBoxGacha_rewardList_warning,如獲得特別獎勵，即使未領取完全部獎勵，仍可前進至下個獎勵箱。
dialog_eventRewardBoxGacha_rewardList_emptyBoxInfo,獎勵箱的內容物\n已全數領取完畢。\n將前往下個獎勵箱。
dialog_eventRewardBoxGacha_shortageMedal,{0}不足
dialog_eventRewardBoxGacha_remainFormat,{0}/{1}
dialog_eventRewardBoxGacha_notEnoughEventBoxGachaItem,{0}不足。
dialog_eventRewardBoxGacha_eventBoxGachaInvalidTerm,結束。
dialog_eventRewardBoxGacha_helpViewTitle,麻理奈小姐的獎勵箱是什麼
dialog_confirmFriendApplicationCancel_message,將取消好友申請。\n確定進行嗎？
dialog_confirmFriendApplicationCancel_title,確認
dialog_confirmFriendRelease_message,將解除好友。\n確認進行嗎？
dialog_confirmFriendRelease_title,確認
dialog_friendApplicationCancel_message,已取消好友申請。
dialog_friendApplicationCancel_title,好友申請取消完成
dialog_friendInvite_inviteButton,邀請
dialog_friendInvite_message,將會邀請好友。確認進行嗎？
dialog_friendInvite_title,確認
dialog_friendRelease_message,已解除好友。
dialog_friendRelease_title,解除好友完成
dialog_friendRequestSent_title,申請好友完成
dialog_friendRecommend_messageCommon,\n\n將會申請其他玩家為好友，\n只要承認後就會互相為好友狀態。
dialog_friendRecommend_messageOnCreateRoom,沒有可以進行邀請的好友。\n若要邀請好友，\n必須與其他玩家成為好友才能進行。
dialog_friendRecommend_messageOnSearchRoom,若要加入好友邀請房進行LIVE，\n必須先與其他玩家成為好友才能進行。
dialog_friendRequestSent_message,已經提出好友申請。
dialog_friendRequestError_messageAlreadyApplied,目前已為申請中。
dialog_friendRequestError_messageAlreadyMadeFriend,已經是好友了。
dialog_friendRequestError_messageMyFriendsNumOrApplicationNumIsFull,好友數，或是\n申請可能的空位數已經不夠了。
dialog_friendRequestError_messageOpponentFriendsNumOrApprovalPendingNumIsFull,對方的好友數，或是\n等待確認的空位數已經不夠了。
dialog_friendRoomSelect_comment,想說的一句話
dialog_friendRoomSelect_description,好友提出了LIVE的邀請。請選擇要加入的房間。
dialog_friendRoomSelect_enteringRoom,進入
dialog_friendRoomSelect_roomCountLimit,※以收到次序最多顯示30件
dialog_friendRoomSelect_roomCreator,創建房間的人
dialog_friendRoomSelect_title,選擇好友邀請房
dialog_friendRoomSelect_notInvite,現在沒有來自好友的邀請。\n\n可以從「私人」中創建房間，\n並邀請好友一起進行LIVE。
dialog_gachaConfirm_title,確定
dialog_gachaConfirm_body,確定要消耗{0}，\n抽{1}嗎？
dialog_gachaShortage_title,{0}不足
dialog_gachaShortageTicket_body,{0}不足。
dialog_gachaShortageStar_body,{0}不足。\n要前往Star Shop嗎?
dialog_gachaDetail_tabFrameOfGacha,出現機率
dialog_gachaDetail_tabFrameOfCommitment,必中轉蛋提供比例
dialog_gachaDetail_title,轉蛋詳細說明
dialog_gachaDetailInformation_tabTitle,轉蛋說明
dialog_gachaDetailInformation_titleDescription,轉蛋概要
dialog_gachaDetailInformation_titleTerm,舉辦期間
dialog_gachaDetailInformation_titleNewMemberInfo,新團員介紹
dialog_gachaDetailInformation_titleStepInfo,STEP內容
dialog_gachaDetailInformation_titleSetInfo,套組內容
dialog_gachaDetailInformation_titleWarning,注意事項
dialog_gachaDetailMember_title,提供團員一覽
dialog_gachaDetailRarity_title,各種稀有度提供比例
dialog_gachaDetail_member,{0}團員
dialog_gachaPickup_title,詳細
dialog_gachaNotEnoughStarError_message,Star不足。
dialog_gachaNotEnoughTicketError_message,Ticket不足。
dialog_gachaNotEnoughItemError_message,所需道具不足。
dialog_gachaNotFoundError_message,已結束。
dialog_garupaCupSecondQualificationMusic_description1,這是位於[華山１９１４文化創意產業園區]GBP盃的現場預賽。\n通過先前線上預賽篩選，即能到GBP盃的活動現場參加會場正式預賽， \n只要分數排名為前面名次就能晉級決賽。\n※本次預賽的成績結果並不會直接列入總決賽的成績。
dialog_garupaCupSecondQualificationMusic_description2,就算沒有通過線上預賽也是可以體驗本次預賽，\n請玩家一定要嘗試體驗看看。
dialog_garupaCupSecondQualificationMusic_title,GBP盃會場正式預賽LIVE
dialog_garupaCupSecondQualificationResultLiveFinish_title,會場正式預賽LIVE結束
dialog_garupaCupSecondQualificationResultLiveFinish_message,{0}將會回到會場正式預賽的TOP頁面。\n確定進行嗎？[-]\n\n{1}※GBP盃會場正式預賽中參加ＬＩＶＥ後\n請有通過線上預賽的玩家，\n在工作人員統計結束完成之前，\n請將畫面停留在結果畫面不要進到下一頁。[-]
dialog_garupaCupEntry_title,報名參加GBP盃
dialog_garupaCupEntry_descriptionTop,[505050]就算不報名參加線上預賽也是可以進行遊戲。\n若希望參加GBP盃的玩家[-][FE2349]請進行線上預賽LIVE１次以上，\n並報名參加[-][505050]即可進行。\n在線上預賽結束之後，統計出線上預賽最高分數後，\n將能決定能否參加現場的會場正式預賽。[-]
dialog_garupaCupEntry_descriptionResult,[505050]就算不報名參加線上預賽也可以進行遊玩。\n若要報名參加GBP盃的玩家這是必須進行的。\n在線上預賽結束之後，在統計完最高分數後，\n將會決定能前往現場參加會場正式預賽的玩家。[-]
dialog_garupaCupEntry_entryAt,報名期間：{0}為止
dialog_garupaCupEntry_confirm,確認報名參加GBP盃嗎？
dialog_highScoreRating_noDataMessage,未有樂曲的遊玩資料，\n快來遊玩所選樂團的樂曲吧！
dialog_hiSpeedSetting_checkMessage,速度確定
dialog_hiSpeedSetting_neverDisplayMessage1,下次不再顯示
dialog_hiSpeedSetting_neverDisplayMessage2,（可以至設定中的LIVE設定進行變更）
dialog_hiSpeedSetting_title,LIVE設定
dialog_hiSpeedSetting_subTitle,節奏圖示的速度
dialog_itemDetail_title,道具詳細說明
dialog_inputError_characterEmpty,請輸入１個以上的文字。
dialog_inputError_characterLength,請輸入{0}個以內的文字。
dialog_inputError_characterType,其中含有無法使用的文字。
dialog_inputError_ngWord,其中含有不適當的詞彙。\n請再次輸入。
dialog_inputError_title,輸入錯誤
dialog_liveBoostEmpty_title,確定
dialog_liveBoostEmpty_description,已無LIVE Boost。\n即使通關LIVE也無法獲得活動P。
dialog_liveBoostEmpty_starShopButton,Star\nShop
dialog_liveBoostEmpty_liveButton,LIVE
dialog_liveBoostExpend_title,LIVE Boost消耗設定
dialog_liveBoostExpend_caption1,活動P
dialog_liveBoostExpend_caption2,報酬‧EXP
dialog_liveBoostExpend_rate,{0}倍
dialog_liveBoostExpend_settingButtonOn,設定中
dialog_liveBoostExpend_settingButtonOff,設定
dialog_liveBoostExpend_description1,※所持數小於設定消耗數的話，將會消耗掉全部所持數。
dialog_liveBoostLack_title,所持LIVE Boost不足
dialog_liveBoostLack_caption1,設定消費數
dialog_liveBoostLack_message1,欲回復LIVE Boost\n請選擇回復方法。
dialog_liveBoostLack_emptyLiveBoostDrink,未持有
dialog_liveBoostLack_settingButton,消費設定
dialog_liveBoostLack_goButton,{0}進行LIVE
dialog_liveBoostLack_healLBDrinkButton,持有物品
dialog_liveBoostLack_healLBStarButton,STAR
dialog_liveBoostLackStar_message,Star不足。\n前往Star Shop嗎？
dialog_liveBoostRecover_overLimitErrorMessageBefore,超過LIVE Boost上限，\n無法購買。
dialog_liveBoostRecover_overLimitErrorMessageAfter,超過LIVE Boost上限，\n無法購買。
dialog_liveBoostRecoverLimit_title,LIVE BoostMAX
dialog_liveBoostRecoverLimit_message,LIVE Boost達到MAX，無法恢復。
dialog_liveBoostRecoverNotEnoughStar_title,Star所持數不足
dialog_liveBoostRecoverNotEnoughStar_message,Star所持數不足。
dialog_liveBoostRecoverConfirm_title,確定
dialog_liveBoostRecoverConfirm_message,確定要消耗{0}個Star，\n恢復{1}個LIVE Boost嗎？
dialog_liveBoostRecoverConfirm_possessionStarCaption,所持Star
dialog_liveBoostRecoverConfirm_recoverButton,恢復
dialog_liveBoostRecoverItem_title,回復量選擇
dialog_liveBoostRecoverItem_message1,※LIVE Boost至多可回復至{0}。
dialog_liveBoostRecoverItem_healButton,回復
dialog_liveBoostRecoverItemCell_itemNum,x{0}
dialog_liveBoostRecoverItemConfirm_title,LIVE Boost回復
dialog_liveBoostRecoverItemConfirm_message,將回復LIVE Boost，\n確定執行嗎？
dialog_liveBoostRecoverItemFinish_message,LIVE Boost回復了{0}！
dialog_liveSettings_mirror,鏡向
dialog_liveSettings_coreLightMode,輕量化模式
dialog_liveSettings_coreAdjustJudgement,判定調整
dialog_liveSettings_standardRhythmIconSpeed,節奏圖示的速度
dialog_liveSettings_standardRhythmIconSize,節奏圖示的大小
dialog_liveSettings_standardSkin,外觀
dialog_liveSettings_standardRhythmIconColored,節奏支援
dialog_liveSettings_standardJudgementSound,タップで\n調整する
dialog_liveSettings_standardSimultaneousLine,同時按壓線
dialog_liveSettings_standardSkillWindow,技能視窗
dialog_liveSettings_standardTapAdjustTimingButton,點擊來\n進行調整
dialog_liveSettings_standardDisplaySkillEffect,技能效果顯示
dialog_liveSettings_liveBGM,歌曲
dialog_liveSettings_liveSE,LIVE中的SE
dialog_liveSettings_liveVoice,LIVE中的語音
dialog_liveSettings_systemBGM,BGM
dialog_liveSettings_systemSE,SE
dialog_liveSettings_systemVoice,語音
dialog_liveSettings_systemScreenOrientation,固定畫面
dialog_liveSettings_systemLiveBoostShortageConfirm,不足確認
dialog_liveSettings_tabStandardSetting,LIVE設定
dialog_liveSettings_tabLiveVolumeSetting,LIVE特效・音量設定
dialog_liveSettings_title,設定
dialog_loadMapError_body,讀取失敗。回到標題畫面。
dialog_loadMapError_title,錯誤
dialog_matching_description,搜尋房間。
dialog_matching_title,配對中
dialog_matching_warning,※忙碌時可能會花一些時間。
dialog_memberDecideConfirm_existNotArraivalMember,※有團員在等待進入房間
dialog_memberDecideConfirm_message,確定要{0}人進行LIVE嗎？
dialog_menuList_title,選單
dialog_memorialStoryMember_title,主要團員
dialog_memorialStoryReleaseCondition_title,解放條件
dialog_memorialStoryReleaseCondition_conditionUserRank,玩家的ＲＡＮＫ達到{0}時で\n進行解放。
dialog_memorialStoryReleaseCondition_conditionBandRank,{0}的樂團ＲＡＮＫ達到{1}\n進行解放。
dialog_memorialStoryReleaseCondition_conditionAllBandRank,將在所有樂團的\n樂團ＲＡＮＫ到達{0}以上進行解放。
dialog_multiEntranceWebviewTitle,房間類型
dialog_musicDetail_title,樂曲詳細說明
dialog_musicDetail_bandNameCaption,演奏樂團：
dialog_musicDetail_composerCaption,作曲：
dialog_musicDetail_lyricistCaption,作詞：
dialog_musicDetail_musicDetailCaption,詳細情報
dialog_missionDetail_detail,詳細
dialog_missionDetail_progress,達成度
dialog_missionDetail_timeLeft,剩餘期間
dialog_missionDetail_reward,報酬
dialog_missionDetail_indefinitePeriod,沒有指定期間
dialog_news_title,公告
dialog_nickNameChange_message,請輸入10個字以內的玩家名稱。
dialog_nickNameChange_title,錯誤
dialog_nickNameChanged_message,玩家名稱已變更完畢！
dialog_nickNameChanged_title,變更完畢
dialog_opponentRequestApprove_message,已經同意好友申請了。
dialog_opponentRequestApprove_title,好友申請同意完成
dialog_opponentRequestReject_message,已經拒絕好友申請了。
dialog_opponentRequestReject_title,好友申請拒絕完成
dialog_pendingBillingExist_title,繼續上次尚未完成的購買
dialog_pendingBillingExist_message,上次購買並未正常結束。\n請稍候。
dialog_pendingBillingFinish_title,購買處理完畢
dialog_pendingBillingFinish_message,尚未完成的處理程序已結束。
dialog_possessionStar_labelFree,免費
dialog_possessionStar_labelPaid,付費
dialog_possessionStar_labelTotal,合計Star
dialog_possessionStar_message,[FE2349]會先從免費Star開始消耗。[-]
dialog_possessionStar_title,所持Star確定
dialog_premiumPassDetail_buyableConditions,‧「Premium HappyBOX」經過30日後方可再次購買。
dialog_premiumPassDetail_receiveCount,‧1天1次禮物最多可以領取25次。 
dialog_premiumPassDetail_receiveTiming,‧1天1次禮物(免費Star)可於登入遊戲時領取。
dialog_premiumPassDetail_reset,‧1天1次禮物於每天4點重置。 
dialog_premiumPassDetail_revocation,‧購買「Premium HappyBOX」後，經過30天後，\n即使沒有全部領完1天1次禮物，也會自動失效，請特別注意。 
dialog_premiumPassDetail_title,關於Premium HappyＢＯＸ
dialog_presentReceiveBulk_title,全部領取完畢
dialog_presentReceiveBulk_description,已經獲得禮物了！
dialog_presentReceiveSingle_title,領取完畢
dialog_presentReceiveSingle_description,已經獲得禮物了！
dialog_presentReceiveSituationAlreadyHave,因已獲得被送往休息室。
dialog_presentReceiveSituationAlreadyHaveSingular,因為是已經獲得過的團員，所以已經送到休息室了。
dialog_privateRoomNotFoundError_message,找不到指定頁面。
dialog_privateRoomVersionError_message,遊戲版本不一致的房間。
dialog_privateRoomOverError_message,指定房間人數已滿。
dialog_privateRoomPlayingError_message,指定房間正在LIVE中。
dialog_privateRoom_copyRoomNumber,複製號碼
dialog_privateRoom_createRoom,創建房間
dialog_privateRoom_typeCaption,房間類型
dialog_privateRoom_nameCaption,想說的一句話
dialog_privateRoom_nameLimit,最多可以輸入１０個字
dialog_privateRoom_numberCaption,房間編號
dialog_privateRoom_roomSelect,房間限制
dialog_privateRoom_title,創建私人房間
dialog_privateRoomDenied_description,主要樂團的總合力不足，\n無法進入指定房間。
dialog_privateRoomDenied_needPower,必要總合力
dialog_privateRoomDenied_room,房間
dialog_privateRoomDenied_title,總合力不足
dialog_privateRoomEntrance_createButton,新創
dialog_privateRoomEntrance_createDescription,新創房間
dialog_privateRoomEntrance_joinDescription,進入朋友的房間
dialog_privateRoomJoin_description,指定５位數的房間號碼和朋友進行協力LIVE！
dialog_privateRoomJoin_descriptionVersus,指定５碼房間號碼和好友進行共演LIVE！
dialog_privateRoomJoin_joinButton,進入房間
dialog_privateRoomJoin_title,私人房間参加
dialog_privateRoomLeave_title,退出私人房間
dialog_privateRoomLeave_confirm,確定要退出私人房間嗎?
dialog_publishConfig_title,玩家情報設定
dialog_publishConfig_publish,公開中
dialog_publishConfig_closed,非公開
dialog_purchaseCancel_title,取消
dialog_purchaseCancel_message,已取消購買。
dialog_purchaseComplete_title,購買完畢
dialog_purchaseFailed_message,無法購買。
dialog_purchaseFailed_messageOutOfTerm,道具購買期限已截止，\n或是已逾購買限制數量，導致無法成功購買。
dialog_rankReward_itemDescription,{0} x{1}
dialog_rankUp_liveBoostLimitCaution,※LIVE Boost最多只能恢復到{0}
dialog_rankUp_recoveryLiveBoost,LIVE Boost恢復了{0}！
dialog_rankUp_recoveryLiveBoostChange,[4C4C4C]RANK升至{0}了\n升級時的\nLIVE Boost恢復量變成[-][FF3B72]{1}[-][4C4C4C]了！[-]
dialog_rankUp_recoveryLiveBoostFriendLimitChange,好友上限已經增加了{0}人。
dialog_rankUp_bandStoryOpenBandName,{0}的樂團故事
dialog_rankUp_bandStoryOpenChapter,「{0}」解鎖了！
dialog_rankUp_mainStoryOpenChapter,第{0}季 主線故事「{1}」已解鎖！
dialog_rankUp_title,等級上升了！
dialog_rankUp_getReward_title,獲得報酬
dialog_rankUp_getReward_message,已經獲得以下報酬！
dialog_rankUp_levelUpperLimitOpen_title,等級上限解放
dialog_rankUp_levelUpperLimitOpen_message,等級上限已經解放了！
dialog_rankUp_levelUpperLimitOpen_areaItem_message,「{0}」的等級上限已經解放了！
dialog_rankUp_levelUpperLimitOpen_levelMax,最大等級
dialog_recoverLiveBoost_title,LIVE Boost恢復
dialog_recoverLiveBoost_message,LIVE Boost恢復了{0}個！
dialog_reviewRequest_message,感謝支持本遊戲。\n\n方便的話請給予我們評價。\n以作為遊戲開發參考。
dialog_reviewRequest_rejectionButton,取消
dialog_reviewRequest_reviewButton,點評
dialog_reviewRequest_title,點評
dialog_rewardAreaItem_message,送到倉庫了。
